date,n1,n2,n3,n4,n5,n6,bonus
2024-03-16,1,3,9,13,24,36,23
2024-03-20,7,11,22,26,29,42,12
2024-03-23,21,24,30,32,39,40,2
2024-03-27,2,3,19,40,42,43,4
2024-03-30,3,12,16,18,24,43,11
2024-04-03,13,15,29,39,43,45,2
2024-04-06,1,12,14,23,27,43,22
2024-04-10,2,4,12,16,26,28,24
2024-04-13,2,29,30,32,36,44,22
2024-04-17,6,18,24,30,34,36,42
2024-04-20,1,17,22,24,33,41,2
2024-04-24,1,11,12,16,26,43,30
2024-04-27,9,11,12,27,29,35,13
2024-05-01,14,18,20,23,38,43,41
2024-05-04,2,5,6,19,34,43,18
2024-05-08,5,16,20,37,41,42,34
2024-05-11,8,17,27,36,37,43,30
2024-05-15,2,4,9,22,29,43,26
2024-05-18,2,3,6,21,28,39,42
2024-05-22,25,31,35,38,42,44,18
2024-05-25,1,26,31,32,35,36,45
2024-05-29,2,13,16,18,41,44,19
2024-06-01,4,23,24,29,38,41,34
2024-06-05,2,3,29,38,41,42,27
2024-06-08,16,21,24,31,39,44,33
2024-06-12,19,30,32,35,38,43,2
2024-06-15,7,11,15,17,19,38,26
2024-06-19,10,14,16,19,23,44,4
2024-06-22,17,22,28,33,37,40,43
2024-06-26,14,15,25,27,30,40,11
2024-06-29,2,4,8,15,20,24,34
2024-07-03,4,15,21,30,31,44,36
2024-07-06,12,15,21,26,33,40,34
2024-07-10,2,13,26,30,35,45,23
2024-07-13,5,13,16,38,40,44,45
2024-07-17,5,8,11,13,16,44,40
2024-07-20,16,21,23,24,30,35,32
2024-07-24,3,4,25,26,28,42,33
2024-07-27,13,15,23,30,31,35,41
2024-07-31,1,8,20,23,26,40,35
2024-08-03,4,9,12,20,23,26,43
2024-08-07,6,16,18,30,35,42,4
2024-08-10,1,8,15,16,26,45,25
2024-08-14,9,18,24,28,39,44,1
2024-08-17,15,16,22,32,41,44,21
2024-08-21,2,4,8,27,29,45,11
2024-08-24,3,7,14,18,26,42,30
2024-08-28,6,7,11,16,32,35,25
2024-08-31,5,6,17,19,36,43,2
2024-09-04,9,36,37,39,40,41,12
2024-09-07,3,11,13,24,38,45,22
2024-09-11,9,14,27,37,41,42,36
2024-09-14,1,12,17,25,33,36,31
2024-09-18,11,14,26,27,35,45,32
2024-09-21,24,25,27,28,34,40,26
2024-09-25,5,15,18,32,39,41,16
2024-09-28,5,8,12,32,39,43,37
2024-10-02,5,8,10,28,32,38,20
2024-10-05,7,10,11,16,30,31,44
2024-10-09,2,3,11,13,19,28,37
2024-10-12,19,28,29,31,33,40,15
2024-10-16,1,15,19,21,28,32,16
2024-10-19,7,9,15,17,28,36,11
2024-10-23,6,16,17,29,38,39,36
2024-10-26,4,6,11,16,38,44,28
2024-10-30,4,14,17,18,19,23,44
2024-11-02,14,16,18,26,30,43,24
2024-11-06,6,13,23,26,27,39,3
2024-11-09,7,11,15,21,33,40,45
2024-11-13,3,9,15,17,28,29,45
2024-11-16,9,10,12,13,31,36,14
2024-11-20,15,21,26,28,35,37,43
2024-11-23,5,11,26,32,34,37,25
2024-11-27,2,20,26,33,39,43,38
2024-11-30,2,5,19,21,30,36,12
2024-12-04,1,2,17,23,27,33,7
2024-12-07,1,14,20,25,32,45,18
2024-12-11,15,25,34,35,36,40,7
2024-12-14,17,22,24,33,37,38,19
2024-12-18,2,3,10,13,26,28,37
2024-12-21,5,16,26,34,35,40,30
2024-12-25,1,4,5,18,29,44,9
2024-12-28,8,9,18,22,32,41,26
2025-01-01,18,21,37,41,44,45,34
2025-01-04,3,7,9,36,37,42,6
2025-01-08,2,3,6,35,39,41,37
2025-01-11,11,12,14,33,41,43,39
2025-01-15,6,18,27,28,33,44,5
2025-01-18,2,3,20,33,34,44,7
