Datum izvlačenja,Broj 1,Broj 2,Broj 3,Broj 4,Broj 5,Broj 6,Bonus broj
2002-12-11,4,8,11,22,33,45,25
2002-12-18,4,14,18,22,31,40,13
2002-12-25,4,15,20,33,42,43,1
2003-01-01,5,19,27,31,42,44,26
2003-01-08,7,11,13,34,43,45,18
2003-01-15,19,29,30,33,42,44,8
2003-01-22,9,12,15,23,34,38,31
2003-01-29,10,17,20,30,31,41,17
2003-02-05,20,21,22,27,41,44,14
2003-02-12,5,18,21,22,24,32,35
2003-02-19,1,3,4,39,43,45,8
2003-02-26,4,8,9,23,29,43,7
2003-03-05,4,8,13,25,32,33,44
2003-03-12,2,3,7,15,40,45,25
2003-03-19,7,9,17,18,35,42,5
2003-03-26,6,12,13,14,19,29,18
2003-04-02,8,9,10,22,26,45,41
2003-04-09,15,22,31,34,43,45,1
2003-04-16,9,25,31,35,38,43,35
2003-04-23,7,17,20,36,40,41,13
2003-04-30,15,25,26,33,41,45,27
2003-05-07,10,17,22,36,40,42,42
2003-05-14,2,14,22,30,32,38,22
2003-05-21,2,5,6,26,31,39,4
2003-05-28,3,4,9,32,37,41,8
2003-06-04,2,3,14,18,34,41,39
2003-06-11,3,10,22,33,35,38,7
2003-06-18,9,12,15,29,41,43,32
2003-06-25,3,17,22,27,34,43,14
2003-07-02,4,5,12,21,29,42,1
2003-07-09,2,5,12,23,34,41,20
2003-07-16,1,5,21,26,32,39,8
2003-07-23,1,6,8,15,28,40,26
2003-07-30,2,5,24,27,40,45,10
2003-08-06,4,12,24,26,33,35,42
2003-08-13,4,8,16,28,29,35,14
2003-08-20,23,25,27,30,32,38,5
2003-08-27,6,24,30,33,40,44,33
2003-09-03,2,13,23,37,38,39,27
2003-09-10,13,14,29,36,39,42,10
2003-09-17,2,8,11,17,32,36,32
2003-09-24,3,12,15,24,31,37,17
2003-10-01,6,7,11,26,38,44,27
2003-10-08,7,9,13,15,24,25,16
2003-10-15,12,13,31,33,38,42,20
2003-10-22,4,7,10,14,19,29,36
2003-10-29,4,8,11,15,34,37,21
2003-11-05,12,18,22,25,32,36,24
2003-11-12,1,10,11,12,16,42,38
2003-11-19,2,6,8,21,23,41,4
2003-11-26,14,20,23,29,39,43,13
2003-12-03,7,13,19,22,33,43,26
2003-12-10,4,12,22,35,39,42,34
2003-12-17,4,24,28,33,35,39,2
2003-12-24,15,18,26,27,40,43,12
2003-12-31,2,13,21,34,41,43,10
2004-01-07,1,6,15,16,30,31,36
2004-01-14,1,17,35,40,41,44,2
2004-01-21,6,18,24,38,41,45,36
2004-01-28,6,14,15,24,28,35,15
2004-02-04,12,27,29,30,32,44,6
2004-02-11,8,17,18,21,32,42,41
2004-02-18,4,8,17,25,26,30,34
2004-02-25,8,23,30,33,37,40,29
2004-03-03,4,7,24,27,43,44,33
2004-03-10,1,9,12,23,33,39,6
2004-03-17,4,20,23,32,40,41,37
2004-03-24,3,4,7,8,17,33,16
2004-03-31,6,14,21,22,30,42,37
