date,n1,n2,n3,n4,n5,n6,bonus
2025-01-02,2,8,11,25,30,40,32
2025-01-12,4,5,22,25,33,45,20
2025-01-16,3,10,15,21,30,42,22
2025-01-19,2,16,24,31,35,44,9
2025-01-23,28,34,35,37,40,43,18
2025-01-26,11,19,23,33,34,45,1
2025-01-30,4,11,20,29,31,44,30
2025-02-02,1,17,30,32,39,44,11
2025-02-06,8,9,26,30,35,37,5
2025-02-09,16,26,34,40,44,45,12
2025-02-13,3,4,5,13,21,43,23
2025-02-16,7,14,16,23,27,30,17
2025-02-20,12,13,21,24,25,45,1
2025-02-23,16,17,24,25,27,39,8
2025-02-27,2,6,17,20,26,44,41
2025-03-02,10,11,20,24,36,42,18
2025-03-06,6,10,17,25,29,32,30
2025-03-09,13,16,28,29,38,44,1
2025-03-13,9,11,16,18,28,40,12
2025-03-16,9,13,15,18,29,42,17
2025-03-20,11,16,27,34,36,38,25
2025-03-23,1,11,17,21,22,31,4
2025-03-27,1,11,24,35,43,44,9
2025-03-30,16,25,30,34,44,45,31
2025-04-03,22,27,29,33,37,39,24
2025-04-06,8,9,30,35,40,42,31
2025-04-10,6,12,16,18,44,45,37
2025-04-13,4,9,11,19,31,37,18
2025-04-17,17,23,24,25,26,35,2
2025-04-20,12,14,21,28,33,44,16
2025-04-24,21,23,24,31,41,44,28
2025-05-04,1,14,16,19,34,43,27
2025-05-08,5,15,17,26,27,41,45
2025-05-11,2,9,18,23,24,42,39
2025-05-15,1,14,15,24,34,39,7
2025-05-18,2,4,14,15,22,23,1
2025-05-22,7,9,12,20,31,39,22
2025-05-25,1,2,3,8,15,37,30
2025-05-29,9,12,25,30,42,45,43
2025-06-01,14,19,29,35,38,45,6
2025-06-05,7,9,15,18,19,43,20
2025-06-08,5,13,24,30,34,39,22
2025-06-12,5,10,15,31,42,45,16
2025-06-15,6,9,29,36,41,43,2
2025-06-19,2,13,20,31,33,36,1
2025-06-22,1,3,6,16,29,43,30
2025-06-26,3,14,26,34,35,36,23
2025-06-29,27,28,32,36,40,45,13
2025-07-03,3,7,16,29,35,39,6
2025-07-06,6,12,14,16,31,36,45
2025-07-10,6,18,23,35,44,45,32
2025-07-13,1,3,10,12,24,34,25
2025-07-17,3,16,20,26,33,34,21
2025-07-20,6,26,39,40,41,44,38
2025-07-24,9,12,25,29,41,45,23
2025-07-27,13,34,37,41,44,45,18
2025-07-31,8,9,12,13,20,44,24
2025-08-03,4,7,10,16,26,35,29
2025-08-07,5,20,22,26,29,39,23
2025-08-10,9,10,12,13,16,29,27
2025-08-14,12,18,25,26,41,43,28
2025-08-17,9,10,15,16,28,38,29
2025-08-21,15,21,29,31,36,41,4
2025-08-24,16,17,19,34,39,42,38
2025-08-28,2,15,16,18,24,41,9
2025-08-31,3,5,8,24,29,35,44
2025-09-04,10,11,20,26,29,31,22
2025-09-07,5,12,16,22,29,43,15
2025-09-11,7,8,32,33,35,37,5
2025-09-25,2,17,20,23,31,32,11
2025-09-28,6,11,12,17,24,44,31
2025-10-02,9,10,14,27,33,43,42
2025-10-05,4,10,11,22,27,36,14
2025-10-09,9,17,25,27,31,45,41
2025-10-12,1,12,16,19,23,31,41
2025-10-16,11,12,28,34,35,41,10
2025-10-19,1,2,13,15,19,44,6
2025-10-23,15,18,23,28,32,39,37
2025-10-26,16,22,35,42,43,44,13
2025-10-30,1,6,10,32,34,45,42
2025-11-02,5,8,28,40,42,44,21
2025-11-06,3,13,19,20,23,32,29
2025-11-09,3,5,18,34,39,40,13
2025-11-13,1,5,14,17,18,43,21
2025-11-16,16,20,25,33,35,45,12
2025-11-20,5,12,14,25,40,42,15
2025-11-23,2,16,24,36,41,45,30
2025-11-27,16,35,37,39,40,43,42
2025-11-30,5,6,27,31,32,43,24
2025-12-04,12,19,24,26,32,42,22
2025-12-07,5,7,9,18,30,31,35
2025-12-11,1,4,6,32,34,35,38
2025-12-14,10,12,14,19,27,37,24
2025-12-18,19,20,26,28,31,44,17
2025-12-21,1,12,28,31,41,42,5
2025-12-25,16,33,34,37,39,41,42
2025-12-28,1,2,26,28,29,41,13
2026-01-01,7,16,26,27,31,42,6
2026-01-04,17,20,27,31,34,42,2
2026-01-08,2,5,6,23,25,42,29
2026-01-11,9,14,23,24,25,32,6
2026-01-15,9,13,25,27,29,34,22
2026-01-18,1,6,26,30,36,42,14
2026-01-22,3,9,15,18,27,30,21
2026-01-25,2,3,7,13,19,24,15
2026-01-29,1,8,20,35,36,41,7
2026-02-01,4,9,14,18,28,40,19
2026-02-05,5,11,14,17,23,33,25
2026-02-08,4,5,12,17,19,41,33
2026-02-12,3,8,16,24,25,30,27
2026-02-15,7,15,30,32,38,40,12
2026-02-19,19,20,22,26,32,44,30
2026-02-22,4,11,23,24,33,38,19
2026-02-26,4,10,23,29,31,38,36
2026-03-01,4,6,8,20,23,43,11
2026-03-05,17,27,32,35,39,41,22
2026-03-08,4,23,25,28,30,41,11
2026-03-12,5,8,18,28,35,44,27
2026-03-15,9,11,14,15,19,39,20
2026-03-19,13,15,21,22,28,31,43
2026-03-22,2,21,31,35,43,45,32
2026-03-26,11,12,13,21,26,27,41
2026-03-29,9,16,24,36,39,44,17
2026-04-05,6,17,21,34,35,41,1
2026-04-09,4,14,34,37,42,45,39
2026-04-12,5,11,12,25,26,41,33
2026-04-16,2,11,16,20,39,44,29
2026-04-19,1,8,13,22,33,35,32
