date,n1,n2,n3,n4,n5,n6,supp1,supp2
2006-05-01,11,27,31,33,35,40,7,14
2006-06-05,12,13,15,20,28,43,21,31
2006-06-12,2,9,10,19,24,25,11,16
2006-07-03,6,10,13,21,27,35,34,43
2006-07-10,6,12,18,20,22,30,1,26
2006-07-17,17,19,21,26,36,39,33,42
2006-07-31,3,32,36,37,40,42,7,18
2006-09-04,15,16,29,31,32,44,20,37
2006-09-11,7,13,23,34,36,38,29,31
2006-09-18,8,12,29,31,32,38,11,37
2006-10-09,7,8,9,19,20,22,11,40
2006-10-16,1,11,23,31,35,38,13,26
2006-10-23,1,5,7,27,34,42,14,37
2006-11-06,9,18,33,34,35,45,2,42
2006-11-13,19,23,26,28,34,41,6,25
2006-11-20,3,4,10,12,27,35,1,25
2006-12-11,1,12,20,24,39,45,10,17
2007-01-01,4,10,16,25,29,39,30,43
2007-01-08,4,5,15,26,44,45,19,35
2007-01-15,12,24,26,27,32,45,14,28
2007-01-22,4,6,10,17,20,23,43,45
2007-02-05,1,10,12,27,33,39,5,43
2007-02-26,2,16,18,24,27,43,28,36
2007-03-12,3,10,16,23,33,45,18,39
2007-03-26,2,6,9,11,25,39,10,15
2007-04-02,2,6,20,23,35,38,36,43
2007-04-23,1,2,4,13,27,41,15,40
2007-04-30,9,15,33,35,39,40,20,45
2007-05-07,1,9,20,26,28,40,12,39
2007-05-14,2,7,31,37,42,43,26,33
2007-05-21,1,5,18,22,28,30,17,38
2007-06-18,5,14,19,28,32,44,20,24
2007-06-25,6,11,14,23,29,33,7,17
2007-07-16,2,6,8,20,35,44,12,45
2007-09-10,12,17,19,26,38,42,9,35
2007-09-17,12,18,19,25,32,40,7,41
2007-10-01,3,7,10,20,37,41,27,29
2007-10-15,7,11,13,25,35,41,18,31
2007-10-22,6,7,10,19,31,37,13,21
2007-10-29,2,12,21,31,33,43,24,42
2007-11-12,8,26,28,34,35,38,10,24
2007-11-26,10,12,13,22,24,34,9,30
2007-12-10,3,22,26,27,35,45,5,7
2007-12-24,3,21,22,23,37,45,18,41
2007-12-31,11,14,19,23,33,45,22,40
2008-01-07,2,4,18,23,43,44,20,42
2008-01-21,4,24,27,35,37,45,6,28
2008-03-03,9,15,20,27,38,39,3,8
2008-03-10,3,9,21,25,36,40,2,6
2008-03-17,20,22,32,41,43,44,18,31
2008-03-24,9,14,15,16,22,25,3,45
2008-04-21,3,9,11,36,38,41,13,16
2008-04-28,4,6,11,35,40,44,3,34
2008-05-12,10,12,22,24,29,40,17,33
2008-06-02,15,16,25,38,39,45,32,35
2008-06-09,1,5,17,22,27,35,7,37
2008-06-16,18,29,34,37,38,39,35,45
2008-06-23,1,14,23,28,34,44,21,31
2008-06-30,14,19,25,29,33,44,22,23
2008-07-14,1,2,3,12,13,41,14,16
2008-07-21,6,12,14,20,31,43,7,39
2008-09-15,2,4,5,11,19,24,12,31
2008-10-06,3,6,18,23,25,31,26,29
2008-10-13,2,7,26,27,33,39,19,40
2008-10-20,12,18,23,28,34,38,2,8
2008-10-27,1,3,19,27,29,30,23,33
2008-11-03,4,6,9,16,17,23,18,29
2008-11-17,1,11,18,29,37,45,20,34
