Trekking,1e balpositie,2e balpositie,3e balpositie,4e balpositie,5e balpositie,6e balpositie,Bonusbal
2002-12-07,10,12,13,26,31,43,34
2002-12-14,7,8,24,29,38,42,41
2002-12-21,20,24,26,37,38,43,6
2002-12-28,10,23,26,33,36,41,17
2003-01-04,3,18,29,34,38,42,31
2003-01-11,6,7,11,12,21,32,4
2003-01-18,1,17,33,37,41,43,23
2003-01-25,12,15,17,27,28,41,34
2003-02-01,5,8,10,20,32,41,23
2003-02-08,1,8,11,14,29,44,33
2003-02-15,6,7,9,20,21,29,36
2003-02-22,4,20,21,26,37,40,39
2003-03-01,1,6,16,27,40,43,6
2003-03-08,13,25,26,32,41,43,33
2003-03-15,3,8,10,13,25,39,41
2003-03-22,1,3,5,21,35,36,21
2003-03-29,6,8,23,26,28,44,23
2003-04-05,7,17,23,37,38,42,14
2003-04-12,5,14,35,43,44,45,13
2003-04-19,2,5,7,25,30,45,16
2003-04-26,6,9,17,19,21,23,33
2003-05-03,4,8,13,23,24,40,44
2003-05-10,2,3,24,40,41,45,9
2003-05-17,5,10,25,32,42,45,41
2003-05-24,8,21,26,32,38,42,5
2003-05-31,8,10,13,16,23,30,12
2003-06-07,2,5,16,19,32,36,43
2003-06-14,1,25,34,36,39,41,8
2003-06-21,6,14,18,27,28,32,14
2003-06-28,1,3,12,19,30,32,39
2003-07-05,1,4,27,29,31,37,27
2003-07-12,8,16,19,21,34,41,25
2003-07-19,6,16,26,28,38,43,2
2003-07-26,13,24,25,32,38,41,8
2003-08-02,7,11,19,28,29,45,2
2003-08-09,6,19,20,28,31,32,20
2003-08-16,4,8,11,14,21,24,45
2003-08-23,8,19,20,30,31,35,16
2003-08-30,5,10,17,25,32,33,45
2003-09-06,6,14,24,25,35,40,45
2003-09-13,8,11,27,40,43,45,45
2003-09-20,1,12,13,21,34,42,35
2003-09-27,6,10,12,28,29,42,27
2003-10-04,7,10,34,38,41,44,1
2003-10-11,3,7,13,29,42,45,9
2003-10-18,1,6,21,24,27,32,15
2003-10-25,15,19,21,23,34,41,25
2003-11-01,10,21,29,34,38,44,15
