date,n1,n2,n3,n4,n5,n6,bonus
2025-01-04,13,17,22,32,38,44,27
2025-01-11,10,24,37,38,39,44,45
2025-01-18,5,13,14,27,28,42,38
2025-01-25,16,22,30,34,35,41,13
2025-02-01,1,3,23,24,25,37,12
2025-02-08,2,12,19,24,44,45,9
2025-02-15,8,26,27,33,38,43,40
2025-02-22,4,21,29,36,44,45,15
2025-03-01,14,28,35,41,42,45,12
2025-03-08,2,8,10,15,25,45,11
2025-03-15,22,23,32,33,39,44,8
2025-03-22,4,10,20,21,35,36,33
2025-03-29,3,6,10,23,26,41,39
2025-04-05,2,9,12,20,25,32,4
2025-04-12,7,8,9,11,24,30,23
2025-04-19,2,18,22,28,40,43,5
2025-04-26,5,10,23,27,30,36,39
2025-05-03,7,11,26,32,36,43,38
2025-05-10,1,12,30,31,42,45,2
2025-05-17,4,14,20,25,33,37,39
2025-05-24,4,9,17,20,25,37,29
2025-05-31,20,21,22,23,26,39,43
2025-06-07,13,16,18,22,32,40,33
2025-06-14,10,19,27,28,29,40,4
2025-06-21,4,13,18,31,35,41,12
2025-06-28,4,14,16,18,28,37,21
2025-07-05,7,16,21,23,36,39,43
2025-07-12,8,23,30,32,39,43,9
2025-07-19,1,7,10,25,28,34,16
2025-07-26,12,22,32,37,42,43,31
2025-08-02,3,5,10,12,25,27,20
2025-08-09,9,10,18,20,21,30,16
2025-08-16,5,6,33,38,41,44,2
2025-08-23,13,14,31,33,34,38,32
2025-08-30,1,3,9,21,40,42,14
2025-09-06,5,8,18,21,25,31,19
2025-09-13,1,5,8,24,31,41,9
2025-09-27,4,7,8,30,40,41,18
2025-10-04,5,13,14,25,28,43,7
2025-10-11,13,16,28,31,33,41,37
2025-10-18,2,9,17,30,44,45,34
2025-10-25,13,20,25,41,43,45,35
2025-11-01,16,18,28,37,39,40,3
2025-11-08,17,23,27,32,35,41,5
2025-11-15,2,6,7,8,24,29,21
2025-11-22,2,17,18,23,27,42,8
2025-11-29,3,14,21,25,34,37,19
2025-12-06,11,20,28,31,36,39,13
2025-12-13,23,32,37,39,41,45,40
2025-12-20,8,23,31,33,38,39,44
2025-12-27,6,15,17,27,36,37,14
2026-01-03,15,24,25,26,38,43,32
2026-01-10,6,11,29,35,36,37,31
2026-01-17,1,2,11,29,36,41,16
2026-01-24,3,7,8,36,42,44,26
2026-01-31,1,16,27,32,34,39,38
2026-02-07,5,8,19,32,36,44,41
2026-02-14,10,13,19,20,23,29,36
2026-02-21,4,5,12,30,35,39,25
2026-02-28,4,8,9,10,16,30,37
2026-03-07,1,7,12,17,26,27,36
2026-03-14,28,33,37,38,42,44,16
2026-03-21,3,4,21,25,27,31,43
2026-03-28,7,11,17,18,21,44,26
2026-04-04,4,5,11,24,29,34,33
2026-04-11,7,13,14,17,20,39,25
2026-04-18,2,7,11,12,17,44,26
