date,n1,n2,n3,n4,n5,n6,supp1,supp2
2002-01-05,7,9,23,24,35,44,2,26
2002-01-12,1,2,14,20,30,43,21,41
2002-01-19,11,18,22,32,36,37,12,13
2002-01-26,2,9,11,22,24,43,29,37
2002-02-02,1,6,7,19,23,36,37,41
2002-02-09,11,12,37,39,41,42,20,33
2002-02-16,14,17,26,28,37,41,23,29
2002-02-23,4,13,16,19,34,41,7,9
2002-03-02,9,12,14,19,22,24,30,32
2002-03-09,10,25,38,42,44,45,14,22
2002-03-16,1,7,25,27,36,43,11,35
2002-03-23,1,4,7,8,21,42,36,41
2002-03-30,26,31,32,36,40,45,27,38
2002-04-06,3,15,29,31,36,45,2,43
2002-04-13,4,17,21,26,32,40,15,31
2002-04-20,5,14,22,32,35,40,8,16
2002-04-27,8,24,28,32,34,40,36,37
2002-05-04,1,8,22,27,30,40,6,44
2002-05-11,2,8,17,23,25,33,11,43
2002-05-18,10,32,36,38,39,40,28,30
2002-05-25,5,6,8,21,22,27,10,40
2002-06-01,6,14,17,22,23,34,8,24
2002-06-08,7,8,18,30,31,33,32,38
2002-06-15,2,17,27,30,34,45,11,39
2002-06-22,5,17,31,36,43,45,24,41
2002-06-29,2,3,5,29,30,38,22,28
2002-07-06,10,14,25,33,43,45,3,26
2002-07-13,7,17,20,23,27,42,4,29
2002-07-20,6,8,11,21,39,44,17,30
2002-07-27,1,6,13,19,27,36,17,44
2002-09-07,3,7,20,22,35,45,32,40
2002-09-14,10,11,23,28,38,41,8,20
2002-09-21,5,6,7,19,21,26,24,41
2002-09-28,12,21,22,25,37,39,6,19
2002-10-05,1,3,8,20,27,36,32,37
2002-10-12,1,10,17,29,38,41,2,6
2002-10-19,5,8,19,21,22,31,12,34
2002-10-26,7,31,32,39,40,44,4,12
2002-11-02,9,13,14,25,31,34,44,45
2002-11-09,15,26,31,36,37,41,18,39
2002-11-16,17,22,31,39,42,43,7,38
2002-11-23,7,21,22,34,37,38,2,13
2002-11-30,1,11,12,37,41,43,21,32
2002-12-07,22,23,32,35,39,44,16,31
2002-12-14,2,5,9,28,30,42,4,36
2002-12-28,1,4,6,24,29,40,2,9
2003-01-04,8,18,24,25,27,30,13,43
2003-01-11,1,3,9,10,21,33,13,40
2003-01-18,6,7,19,20,35,42,34,40
2003-01-25,5,7,18,34,35,42,28,39
2003-02-01,15,16,20,29,33,34,12,28
2003-02-08,10,13,14,15,26,29,8,28
2003-02-15,8,22,31,35,37,43,13,27
2003-02-22,11,15,26,32,40,45,2,17
2003-03-01,12,15,23,30,36,42,22,24
2003-03-08,2,17,19,21,30,41,15,16
2003-03-15,1,8,13,24,35,42,21,37
2003-03-22,7,15,16,21,22,27,36,45
2003-03-29,6,10,14,25,28,45,26,44
2003-04-05,3,11,12,24,28,32,2,15
2003-04-12,4,7,8,31,32,36,12,14
2003-04-19,8,9,12,15,26,33,6,29
2003-04-26,15,16,21,22,29,34,8,33
2003-05-03,8,9,10,12,21,32,14,28
2003-05-10,3,4,5,7,31,38,9,45
2003-05-17,5,17,22,28,38,42,20,32
2003-05-24,1,4,5,8,28,41,25,38
2003-05-31,3,21,25,36,43,45,16,39
2003-06-07,2,8,18,24,39,41,3,21
2003-06-14,1,5,17,18,30,40,20,23
2003-06-21,3,5,8,16,26,31,2,6
2003-06-28,1,25,31,33,44,45,35,39
2003-07-05,3,16,21,28,40,42,13,31
2003-07-12,6,12,16,23,26,30,9,38
2003-07-19,2,5,7,20,25,30,28,42
2003-07-26,15,21,25,27,35,40,19,41
2003-09-06,5,11,15,19,20,28,27,38
2003-09-13,8,15,29,32,35,39,2,6
2003-09-20,7,14,19,34,36,45,24,32
2003-09-27,7,9,15,18,26,31,29,40
2003-10-04,10,11,18,22,25,36,12,16
2003-10-11,3,5,16,17,40,45,10,32
2003-10-18,3,17,26,32,33,40,7,35
2003-10-25,6,8,27,31,32,38,4,30
2003-11-01,1,4,6,21,37,40,19,29
2003-11-08,6,11,24,37,40,42,12,27
2003-11-15,15,23,28,29,34,39,40,45
2003-11-22,1,3,19,33,41,45,9,28
2003-11-29,3,13,24,38,39,42,8,18
2003-12-06,1,10,18,25,35,37,33,36
2003-12-13,4,28,29,33,37,40,43,44
2003-12-20,1,5,6,11,28,36,41,45
2003-12-27,15,24,26,31,34,43,3,21
2004-01-03,5,9,18,22,26,37,12,25
2004-01-10,4,7,18,27,33,37,39,43
2004-01-17,6,9,10,11,16,42,31,41
2004-01-24,12,13,15,26,34,39,27,41
2004-01-31,3,12,16,18,34,37,7,30
2004-02-07,4,5,10,19,28,32,1,13
2004-02-14,7,8,17,27,37,45,19,30
2004-02-21,4,25,26,31,32,33,2,42
2004-02-28,1,8,20,27,28,36,11,16
2004-03-06,1,9,25,28,36,44,6,15
2004-03-13,6,13,15,18,27,45,9,19
2004-03-20,5,8,13,20,32,37,10,25
2004-03-27,1,15,17,38,40,41,21,37
2004-04-03,6,22,30,32,39,45,2,26
2004-04-10,4,7,13,22,29,42,28,34
2004-04-17,7,12,13,15,27,33,1,2
2004-04-24,1,3,11,34,37,39,2,6
2004-05-01,8,22,28,38,40,43,5,36
