Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Supp 1,Supp 2
2002-12-11,1,3,7,21,28,33,1,13
2002-12-18,8,19,31,32,34,40,4,13
2002-12-25,20,33,34,36,41,45,14,3
2003-01-01,2,17,18,36,41,45,35,32
2003-01-08,11,22,23,25,31,32,16,22
2003-01-15,18,27,29,31,41,43,38,12
2003-01-22,7,20,21,33,36,43,35,31
2003-01-29,1,6,11,20,32,37,29,15
2003-02-05,3,24,30,31,42,44,7,42
2003-02-12,7,10,27,35,36,38,43,18
2003-02-19,4,9,15,17,30,42,41,18
2003-02-26,3,13,14,21,27,41,43,6
2003-03-05,1,11,15,16,20,45,27,23
2003-03-12,10,11,26,30,32,35,38,23
2003-03-19,2,16,18,21,29,32,42,3
2003-03-26,3,5,9,25,34,35,37,30
2003-04-02,2,22,23,31,33,42,17,33
2003-04-09,7,13,21,24,30,42,38,39
2003-04-16,12,13,17,18,20,35,44,13
2003-04-23,2,20,30,33,35,43,43,15
2003-04-30,1,3,27,33,35,37,19,19
2003-05-07,6,8,15,29,33,35,7,12
2003-05-14,4,16,18,20,23,29,37,44
2003-05-21,5,17,23,30,39,42,41,14
2003-05-28,10,19,30,40,44,45,44,22
2003-06-04,3,16,23,24,28,31,36,9
2003-06-11,2,9,13,34,37,44,21,26
2003-06-18,5,9,11,18,19,38,22,40
2003-06-25,10,18,24,27,32,44,3,35
2003-07-02,9,15,30,32,36,42,38,12
2003-07-09,1,7,16,18,33,35,28,4
2003-07-16,10,21,30,33,37,38,19,10
2003-07-23,10,22,25,29,38,44,38,18
2003-07-30,2,3,11,22,38,45,40,19
2003-08-06,1,18,19,30,39,43,29,37
2003-08-13,8,27,36,37,43,44,32,36
2003-08-20,2,9,10,31,43,45,43,33
2003-08-27,3,4,12,16,36,45,42,24
2003-09-03,6,17,20,34,36,45,3,24
2003-09-10,11,16,33,34,37,42,7,31
2003-09-17,2,8,9,12,16,20,10,24
2003-09-24,5,27,29,30,43,45,1,45
2003-10-01,11,20,30,35,38,40,4,45
2003-10-08,4,17,27,35,36,41,1,17
2003-10-15,4,11,16,23,31,44,31,30
2003-10-22,15,17,37,38,42,43,25,10
2003-10-29,3,6,9,11,15,31,41,39
2003-11-05,10,12,23,24,33,40,29,8
2003-11-12,5,7,9,12,24,27,13,34
2003-11-19,3,13,19,20,28,41,43,27
2003-11-26,6,21,25,28,41,43,40,45
2003-12-03,4,6,19,28,32,33,12,34
2003-12-10,6,11,14,15,24,40,20,23
2003-12-17,1,7,10,12,13,38,24,16
2003-12-24,5,14,15,23,26,27,28,10
2003-12-31,16,21,31,32,42,44,43,16
2004-01-07,10,11,13,29,33,45,19,3
2004-01-14,11,17,20,23,34,39,5,30
2004-01-21,6,10,14,16,25,41,1,36
2004-01-28,3,7,21,22,27,41,5,34
2004-02-04,2,4,16,19,33,41,12,22
2004-02-11,11,13,14,21,31,32,16,13
2004-02-18,3,14,20,24,30,31,39,40
2004-02-25,3,11,15,22,33,41,4,4
2004-03-03,2,3,28,33,40,44,36,2
2004-03-10,3,16,20,28,30,37,42,37
2004-03-17,4,13,15,16,23,43,40,4
2004-03-24,1,5,12,18,23,44,32,27
2004-03-31,2,9,14,35,36,39,32,7
2004-04-07,3,9,10,11,19,25,4,22
2004-04-14,1,2,3,14,20,25,34,33
2004-04-21,8,10,14,20,21,34,24,37
2004-04-28,16,27,28,36,40,44,43,22
2004-05-05,7,16,24,33,35,37,5,12
2004-05-12,3,4,5,8,10,28,18,11
2004-05-19,3,8,10,14,26,37,38,21
2004-05-26,1,12,16,35,36,39,38,19
2004-06-02,3,6,14,24,31,33,23,30
2004-06-09,5,6,15,22,39,45,38,30
2004-06-16,3,27,28,35,37,38,9,26
2004-06-23,2,8,11,26,29,44,45,43
2004-06-30,4,6,11,16,25,42,39,41
2004-07-07,12,14,32,38,44,45,23,45
2004-07-14,5,7,18,23,32,33,45,31
2004-07-21,7,11,21,30,31,41,34,11
2004-07-28,2,4,17,33,41,45,40,45
2004-08-04,1,15,19,20,26,40,23,17
2004-08-11,10,17,26,27,32,44,4,35
2004-08-18,4,10,26,27,38,45,27,18
2004-08-25,3,22,26,27,28,31,15,9
2004-09-01,2,4,6,8,10,14,5,23
2004-09-08,1,10,13,33,41,44,12,24
2004-09-15,1,13,14,19,23,36,41,44
2004-09-22,4,5,31,33,40,43,3,44
2004-09-29,3,10,18,33,38,40,20,1
2004-10-06,4,15,27,31,34,44,31,31
2004-10-13,11,16,22,27,28,32,37,42
2004-10-20,15,22,31,36,37,38,23,44
2004-10-27,1,3,13,28,37,40,31,24
2004-11-03,13,15,17,18,21,30,6,41
2004-11-10,1,23,24,30,33,42,12,40
2004-11-17,13,25,29,32,36,44,29,23
2004-11-24,12,26,34,38,41,42,38,9
2004-12-01,4,8,11,13,18,25,9,13
2004-12-08,1,2,13,14,26,42,15,8
2004-12-15,2,10,16,22,29,42,5,10
2004-12-22,16,17,21,24,25,27,10,14
2004-12-29,10,11,30,32,37,38,10,3
2005-01-05,6,17,20,35,36,44,20,7
2005-01-12,3,14,28,32,35,42,32,26
2005-01-19,4,20,23,27,34,40,2,14
2005-01-26,8,12,25,29,39,43,25,39
2005-02-02,7,12,21,23,28,29,40,7
2005-02-09,20,25,34,37,43,44,39,36
2005-02-16,1,2,3,17,29,40,12,31
2005-02-23,3,7,14,18,21,34,45,24
2005-03-02,3,10,13,20,27,37,39,14
2005-03-09,11,21,24,30,40,43,10,2
2005-03-16,1,13,20,24,31,34,43,21
2005-03-23,7,9,10,15,22,41,3,29
2005-03-30,4,8,10,25,31,32,10,38
2005-04-06,2,6,15,18,23,29,6,45
2005-04-13,8,19,20,24,26,43,42,29
2005-04-20,5,13,15,19,36,43,30,33
2005-04-27,17,21,29,32,43,44,25,23
2005-05-04,8,13,14,23,37,40,38,28
2005-05-11,25,31,33,34,37,42,36,16
2005-05-18,6,23,34,41,42,45,41,5
2005-05-25,1,9,14,24,28,37,26,11
2005-06-01,1,10,28,31,35,39,20,7
2005-06-08,2,3,31,35,37,43,12,25
2005-06-15,5,15,24,31,38,39,34,15
2005-06-22,13,15,18,19,29,44,30,42
2005-06-29,4,5,16,17,37,39,10,11
2005-07-06,10,14,22,27,30,33,2,15
2005-07-13,6,12,28,31,35,38,1,35
2005-07-20,13,14,19,22,30,32,45,1
2005-07-27,13,17,37,40,42,45,26,33
2005-08-03,1,5,10,20,25,40,14,22
2005-08-10,4,18,24,31,32,33,12,44
2005-08-17,16,18,26,29,32,43,8,31
2005-08-24,14,15,20,31,33,35,32,29
2005-08-31,8,9,27,30,34,39,23,32
2005-09-07,4,17,21,31,32,42,32,29
2005-09-14,3,13,19,22,28,33,24,37
2005-09-21,5,18,19,29,41,42,43,35
2005-09-28,6,8,19,26,27,33,38,24
2005-10-05,12,14,24,31,43,44,36,29
2005-10-12,5,19,20,21,38,39,21,19
2005-10-19,16,17,20,22,24,26,18,11
2005-10-26,20,24,29,33,35,45,9,34
2005-11-02,1,26,30,41,43,44,2,23
2005-11-09,4,18,21,28,39,42,15,7
2005-11-16,12,17,26,28,38,40,41,32
2005-11-23,3,10,12,13,28,45,20,25
2005-11-30,4,14,18,19,39,40,8,42
2005-12-07,3,19,23,27,37,44,19,14
2005-12-14,8,18,28,39,40,42,18,18
2005-12-21,7,11,15,16,27,45,25,1
2005-12-28,3,7,26,28,30,42,8,33
2006-01-04,1,22,25,38,43,44,45,31
2006-01-11,4,24,29,32,37,41,33,16
2006-01-18,1,2,5,29,39,41,17,21
2006-01-25,4,11,16,25,36,43,24,21
2006-02-01,1,7,23,37,38,41,2,1
2006-02-08,1,16,21,23,33,35,23,11
2006-02-15,9,15,18,22,42,44,42,25
2006-02-22,13,17,18,31,33,40,41,23
2006-03-01,3,9,10,11,15,21,12,18
