date,n1,n2,n3,n4,n5,n6,supp1,supp2
2006-05-03,4,7,10,18,33,40,13,44
2006-05-10,6,7,9,10,23,26,2,30
2006-05-24,15,17,18,28,32,39,12,36
2006-06-14,5,15,17,22,24,32,30,35
2006-06-21,2,5,8,21,35,41,3,10
2006-07-05,1,4,16,22,38,39,31,34
2006-07-12,14,16,17,26,29,32,3,37
2006-09-27,4,21,23,26,29,31,32,42
2006-10-04,5,10,20,27,30,36,11,32
2006-10-18,3,21,22,25,27,45,37,38
2006-11-08,1,11,14,17,20,29,5,6
2006-11-15,20,30,31,32,38,39,6,8
2006-11-22,1,3,8,32,34,37,10,17
2006-11-29,13,19,24,30,34,44,3,35
2006-12-20,11,18,24,31,44,45,5,29
2006-12-27,4,5,13,26,32,37,2,10
2007-01-03,5,10,22,31,34,39,16,40
2007-01-17,1,18,20,25,34,35,27,37
2007-01-24,2,10,13,29,30,43,41,45
2007-01-31,5,19,22,32,34,42,6,13
2007-02-07,18,20,24,31,40,45,8,17
2007-02-21,4,13,21,27,35,42,28,38
2007-03-21,3,10,26,34,39,45,6,17
2007-03-28,1,2,16,18,32,37,26,30
2007-04-04,5,20,22,24,34,41,11,19
2007-04-18,10,15,17,33,37,44,11,24
2007-05-02,12,22,28,32,36,43,7,11
2007-05-16,5,13,17,19,35,45,27,41
2007-05-30,2,12,14,27,28,31,30,33
2007-06-13,5,6,9,14,23,35,17,19
2007-06-27,1,11,31,36,38,43,25,26
2007-07-11,2,4,14,16,19,35,17,43
2007-07-25,4,15,30,35,41,42,19,38
2007-09-26,13,18,27,31,41,45,3,20
2007-10-10,3,14,24,25,39,42,23,26
2007-10-24,3,10,14,24,25,41,4,28
2007-11-07,4,20,21,27,29,37,24,32
2007-11-14,13,16,18,26,29,31,6,43
2007-11-28,8,9,19,21,23,38,27,31
2007-12-05,7,12,21,22,33,43,20,35
2007-12-26,17,22,31,34,37,43,14,30
2008-01-16,7,15,16,18,33,40,32,43
2008-01-30,27,28,33,34,40,43,8,17
2008-02-06,15,17,29,31,34,42,3,45
2008-02-13,1,10,20,24,38,43,9,35
2008-02-20,3,5,13,16,32,43,2,45
2008-02-27,3,7,16,28,32,44,18,36
2008-03-05,2,3,11,16,21,30,18,40
2008-04-02,3,6,19,23,31,35,30,38
2008-04-16,4,17,19,31,35,45,8,24
2008-04-23,10,20,24,34,38,44,5,41
2008-04-30,3,8,18,22,32,34,21,42
2008-05-14,17,19,27,33,37,39,6,8
2008-05-28,3,5,17,21,32,33,26,44
2008-06-04,12,15,16,22,32,39,6,26
2008-06-11,13,18,22,28,32,38,42,44
2008-09-17,7,27,28,40,44,45,5,9
2008-11-05,10,11,24,32,35,36,15,29
2008-11-12,1,3,10,29,34,39,11,18
2008-11-19,10,14,19,23,26,29,34,43
2008-11-26,5,19,22,32,34,42,35,39
2008-12-03,4,13,16,26,28,36,5,35
2008-12-10,7,9,16,18,24,38,12,39
2008-12-24,14,19,22,25,33,42,27,43
2009-01-21,4,7,8,10,21,33,13,30
2009-02-04,5,15,26,27,37,43,42,45
2009-02-18,2,17,26,35,41,44,7,22
2009-03-04,1,4,10,16,20,39,14,31
2009-03-11,5,10,12,22,24,41,18,25
2009-03-18,8,28,31,32,39,40,1,34
2009-03-25,1,7,10,15,21,27,6,20
2009-04-01,3,4,8,17,27,39,16,30
2009-04-08,8,10,21,24,35,41,1,5
2009-04-15,4,9,12,17,38,39,1,21
2009-04-22,10,12,27,36,40,43,13,32
2009-04-29,2,6,22,27,32,35,14,40
2009-05-13,4,8,12,32,35,43,26,30
2009-05-20,5,10,19,21,23,32,26,31
2009-06-03,5,7,27,32,33,35,3,44
2009-06-24,11,18,26,32,41,44,7,22
2009-07-08,3,14,15,18,42,45,4,21
2009-07-15,10,11,19,23,37,45,12,43
2009-07-22,1,7,8,11,28,30,33,35
2009-07-29,9,12,28,31,32,45,16,17
2009-09-02,12,19,23,26,28,43,30,36
2009-09-09,9,12,17,23,31,38,10,28
2009-09-16,5,6,25,29,36,39,14,15
2009-09-23,31,35,36,42,44,45,20,29
2009-10-07,11,17,21,25,30,33,36,44
2009-11-04,3,17,24,32,38,44,12,23
2009-12-02,3,6,12,20,32,39,23,25
2009-12-16,6,9,15,16,24,32,25,26
2009-12-23,1,13,14,18,28,34,7,9
2010-01-13,4,14,17,22,27,42,25,26
2010-02-03,5,7,21,23,36,42,11,29
2010-02-10,3,10,11,19,23,33,32,34
2010-03-10,9,15,16,19,34,45,26,38
2010-03-17,10,14,16,21,24,32,5,6
2010-04-14,1,5,29,34,42,43,13,17
2010-04-21,6,8,11,15,32,41,24,27
2010-04-28,11,17,20,24,25,45,33,41
2010-05-05,2,21,23,27,37,41,4,30
2010-05-12,3,6,19,23,33,34,25,35
2010-05-19,3,22,31,40,43,44,4,9
2010-06-09,16,22,28,38,41,42,5,19
2010-06-23,2,14,20,34,44,45,3,4
2010-07-07,4,10,15,24,33,38,21,45
2010-07-28,1,5,10,28,30,40,9,16
2010-09-01,7,24,30,35,42,44,27,28
2010-09-08,16,21,22,23,33,34,20,28
2010-10-20,4,8,12,18,23,38,7,11
2010-10-27,7,15,19,29,39,41,4,12
2010-11-10,2,23,27,28,36,44,6,8
2010-12-01,2,3,7,13,17,30,36,43
2010-12-15,4,5,18,19,36,37,6,28
2010-12-22,1,4,9,33,35,43,31,38
2011-01-05,3,10,11,14,17,28,12,43
2011-01-12,6,22,34,40,42,45,15,36
2011-01-19,1,7,17,40,43,45,10,41
2011-01-26,2,21,23,25,32,44,4,35
2011-02-16,10,16,19,22,24,32,23,45
2011-03-02,2,6,27,32,43,45,9,14
2011-03-16,1,6,10,11,32,36,9,27
2011-03-23,6,8,14,17,23,43,10,11
2011-03-30,12,21,22,35,43,45,6,7
2011-04-06,3,5,15,21,29,40,9,39
2011-04-13,7,16,20,23,25,40,1,36
2011-04-20,2,7,13,14,20,31,24,35
2011-04-27,5,12,35,36,40,45,26,29
2011-05-04,1,6,12,35,40,42,5,18
2011-05-11,7,14,18,27,39,44,19,33
2011-05-18,1,6,25,26,27,40,12,42
2011-05-25,11,15,18,22,28,38,6,39
2011-06-08,8,10,12,15,24,27,5,36
2011-07-06,1,10,11,15,27,32,4,21
2011-07-13,2,11,14,19,30,41,8,12
2011-09-21,5,10,30,36,38,44,15,17
2011-09-28,11,29,31,35,44,45,16,17
2011-10-12,14,15,22,23,32,35,25,30
2011-10-19,4,7,8,9,11,33,1,34
2011-11-09,17,22,27,34,36,37,25,43
2011-11-16,7,10,11,12,20,26,4,17
2011-11-30,6,12,30,32,35,41,9,24
2011-12-14,12,18,30,31,34,44,1,26
2011-12-21,5,9,10,32,35,36,2,23
2012-01-04,5,9,11,28,29,31,14,26
2012-01-25,13,14,15,22,26,33,6,31
2012-02-01,1,9,30,35,37,43,33,38
2012-02-15,5,8,11,29,33,40,19,21
2012-03-07,4,10,30,38,41,43,23,36
2012-03-21,16,24,27,30,36,44,5,13
2012-03-28,5,11,13,30,42,44,31,37
2012-04-25,6,27,34,37,40,45,10,23
2012-05-09,3,16,19,25,38,44,29,42
2012-05-16,15,21,23,24,31,32,33,34
2012-05-23,8,11,18,27,40,44,26,35
2012-07-11,4,6,15,20,41,44,30,38
2012-07-25,4,7,19,34,38,43,28,36
2012-09-12,22,29,33,37,41,44,15,45
2012-09-19,3,7,13,19,25,35,24,37
2012-09-26,2,5,22,32,37,45,23,38
2012-10-31,3,4,15,22,30,37,1,16
2012-11-07,5,14,16,23,26,30,36,45
2012-11-14,5,10,25,27,32,44,30,31
2012-11-21,6,7,12,19,26,30,8,14
2012-12-19,9,12,16,18,29,36,38,42
2012-12-26,7,16,19,31,39,43,18,20
2013-01-30,5,10,15,28,31,39,11,44
2013-02-20,3,10,13,22,23,29,19,26
2013-02-27,3,8,20,26,41,45,15,23
2013-03-20,8,13,15,27,39,40,10,31
2013-04-10,10,14,26,31,35,44,21,37
2013-04-17,4,10,19,31,34,38,20,45
2013-05-01,3,7,20,23,39,43,19,36
2013-05-15,8,18,20,22,26,30,1,4
2013-05-22,9,11,15,21,24,29,10,44
2013-06-12,5,7,8,13,22,31,43,45
2013-06-19,1,5,9,18,22,30,28,38
2013-06-26,2,10,14,35,39,42,18,29
2013-07-10,8,27,28,29,36,45,21,39
2013-07-31,4,7,14,18,24,43,31,39
2013-09-25,18,26,30,32,33,38,5,22
2013-10-02,9,11,12,30,32,40,16,44
2013-10-09,10,16,22,28,31,34,37,44
2013-11-06,1,20,31,33,34,42,24,38
2013-11-20,3,23,34,38,40,41,18,20
2013-11-27,14,15,25,26,29,35,2,23
2013-12-11,10,12,15,22,23,33,4,21
2014-01-08,4,5,15,19,21,29,6,9
2014-01-22,3,11,22,26,42,44,19,21
2014-02-05,4,28,30,41,43,45,13,23
2014-02-12,8,14,28,34,36,44,13,23
2014-03-05,8,22,23,25,26,35,6,39
2014-03-12,4,9,12,15,22,33,10,16
2014-03-19,13,15,19,26,30,42,1,40
2014-04-02,6,7,13,26,34,38,25,35
2014-04-09,8,16,32,38,41,44,21,45
2014-04-23,5,9,11,14,21,39,34,35
2014-04-30,1,8,14,22,28,38,7,13
2014-05-07,1,11,20,23,41,44,17,19
2014-05-14,3,5,9,13,20,27,25,44
2014-06-11,3,17,18,35,37,38,16,23
2014-06-25,11,25,33,34,42,45,13,23
2014-07-02,4,9,18,25,27,42,20,45
2014-07-16,3,25,27,29,33,36,41,43
2014-07-23,1,6,24,25,29,34,17,45
2014-07-30,2,13,25,31,35,40,20,43
2014-09-03,7,13,17,24,32,41,26,28
2014-09-10,8,23,25,34,41,42,14,18
2014-09-17,6,7,17,26,31,32,3,14
