Sum,TotalCombinations,CombinationRatio_Percent,WinCount,WinRatio_Percent
21,1,0.0,0,0.0
22,1,0.0,0,0.0
23,2,0.0,0,0.0
24,3,0.0,0,0.0
25,5,0.0001,0,0.0
26,7,0.0001,0,0.0
27,11,0.0001,0,0.0
28,14,0.0002,0,0.0
29,20,0.0002,0,0.0
30,26,0.0003,0,0.0
31,35,0.0004,0,0.0
32,44,0.0005,0,0.0
33,58,0.0007,0,0.0
34,71,0.0009,0,0.0
35,90,0.0011,0,0.0
36,110,0.0014,0,0.0
37,136,0.0017,0,0.0
38,163,0.002,0,0.0
39,199,0.0024,0,0.0
40,235,0.0029,0,0.0
41,282,0.0035,0,0.0
42,331,0.0041,0,0.0
43,391,0.0048,0,0.0
44,454,0.0056,0,0.0
45,532,0.0065,0,0.0
46,612,0.0075,0,0.0
47,709,0.0087,0,0.0
48,811,0.01,1,0.0831
49,931,0.0114,0,0.0
50,1057,0.013,1,0.0831
51,1206,0.0148,0,0.0
52,1360,0.0167,0,0.0
53,1540,0.0189,0,0.0
54,1729,0.0212,0,0.0
55,1945,0.0239,0,0.0
56,2172,0.0267,2,0.1663
57,2432,0.0299,0,0.0
58,2702,0.0332,1,0.0831
59,3009,0.0369,0,0.0
60,3331,0.0409,0,0.0
61,3691,0.0453,0,0.0
62,4068,0.0499,0,0.0
63,4490,0.0551,1,0.0831
64,4928,0.0605,1,0.0831
65,5415,0.0665,0,0.0
66,5923,0.0727,1,0.0831
67,6481,0.0796,2,0.1663
68,7062,0.0867,2,0.1663
69,7700,0.0945,1,0.0831
70,8359,0.1026,1,0.0831
71,9079,0.1115,1,0.0831
72,9825,0.1206,1,0.0831
73,10632,0.1305,4,0.3325
74,11466,0.1408,0,0.0
75,12368,0.1518,6,0.4988
76,13294,0.1632,2,0.1663
77,14291,0.1755,1,0.0831
78,15316,0.188,2,0.1663
79,16411,0.2015,6,0.4988
80,17534,0.2153,0,0.0
81,18733,0.23,1,0.0831
82,19955,0.245,1,0.0831
83,21255,0.261,5,0.4156
84,22581,0.2772,3,0.2494
85,23982,0.2944,4,0.3325
86,25407,0.3119,3,0.2494
87,26912,0.3304,5,0.4156
88,28434,0.3491,4,0.3325
89,30036,0.3688,8,0.665
90,31656,0.3887,6,0.4988
91,33351,0.4095,8,0.665
92,35060,0.4304,1,0.0831
93,36847,0.4524,7,0.5819
94,38638,0.4744,2,0.1663
95,40505,0.4973,7,0.5819
96,42375,0.5203,9,0.7481
97,44313,0.544,3,0.2494
98,46247,0.5678,12,0.9975
