id,filter_key,filter_name,filter_name_en,description,category,filter_type,owner_user_id,settings_schema,default_settings,ui_group,display_order,icon_name,is_active,is_public,ai_metadata,created_at,updated_at
00b68e6b-91dc-4453-b607-8ee029762756,multiple_5_count,5의 배수,Multiple of 5,"5,10,15...45",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[5,10,15,20,25,30,35,40,45],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",multiple,520,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
0546d18f-293b-4d42-b19c-796ac9880b36,long_term_miss,장기 미출현,Long Term Miss,10회 이상 미출현 번호 포함 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",number_type,250,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
05a3f720-514b-45df-aa80-4704988638ca,end_digit_3_count,3끝수 개수,End Digit 3,1의 자리가 3인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,403,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
0727ec8a-9d00-4e2a-b464-456235666bcc,multiple_4_5_count,4·5 공배수,Multiple of 4&5,"20,40",system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[20,40],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",multiple,550,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
0e44f2b1-73fa-479b-83cc-227faaa6d944,prime_count,소수 개수,Prime Count,소수 포함 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""number_set"":[2,3,5,7,11,13,17,19,23,29,31,37,41,43],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",number_type,200,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
151cafd0-7e65-4611-9e0f-3aee982f860d,regression_analysis,회귀 분석,Regression Analysis,2~200회귀 중 특정 회귀설정 적용,system,regression_selector,,"{""range"":[2,200]}","{""enabled"":false,""regressionSettings"":{}}",advanced,620,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
1f2eab38-520d-466e-a291-47d4a832c523,consecutive_count,연번(전체),Consecutive Count,모든 연번 쌍의 합,system,discrete_select,,"{""options"":[0,1,2,3,4,5],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",number_type,240,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
23571921-b532-4e2d-9381-8866b7a98e73,end_digit_6_count,6끝수 개수,End Digit 6,1의 자리가 6인 번호 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",end_digit,406,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
288b0433-aa57-4862-8711-eeb2e77458ff,composite_count,합성수 개수,Composite Count,합성수 포함 개수,system,discrete_select,,"{""options"":[0,1,2,3,4,5,6],""multi_select"":true}","{""enabled"":false,""selectedValues"":[]}",number_type,210,filter_alt,true,false,,2026-01-25 10:20:37.703756+00,2026-01-25 10:20:37.703756+00
2bb73d13-8c23-41aa-ba56-a23955ccd912,twin_number_patterns,쌍둥이수 패턴,,,system,discrete_select,,{},"{""activeCounts"":[0,1,2,3,4],""selectedNumbers"":[]}",features,100,filter_alt,true,false,,2026-02-23 12:06:10.56191+00,2026-02-23 12:06:10.56191+00
