id,preset_id,filter_definition_id,settings,enabled,target_round,created_at,updated_at
3986e242-c785-4a6f-9e2b-e860dfe6ac38,32e579f2-db27-43bb-ac8e-47521b4b611c,f39b40a0-eff6-4a04-a03b-37d6c350f748,"{""max"":40,""min"":16,""excluded"":[],""excludedSums"":[],""restoredAutoSums"":[],""recent10FilterActive"":true}",true,,2026-02-21 15:30:01.68296+00,2026-02-22 15:48:29.364774+00
3b662e15-f241-4e32-bddb-74af1c674392,32e579f2-db27-43bb-ac8e-47521b4b611c,6412d013-effa-4743-b3da-ee320b8c40f4,"{""selectedRatios"":[""4:2"",""3:3"",""2:4"",""1:5"",""5:1""],""excludedOddEvens"":[],""recent10FilterActive"":true,""restoredAutoOddEvens"":[]}",true,,2026-02-21 15:34:33.183878+00,2026-02-24 14:42:49.442404+00
3d338300-de75-44b6-b5f7-ae2d77b4160b,32e579f2-db27-43bb-ac8e-47521b4b611c,1f2eab38-520d-466e-a291-47d4a832c523,"{""runFilters"":{""run3"":false,""run4"":false,""run5"":false,""run6"":false},""selectedCounts"":[0,1]}",true,,2026-02-18 09:02:54.809301+00,2026-02-24 13:26:55.791069+00
3fe8725e-43ab-46ff-aa47-f45d52c25e5f,32e579f2-db27-43bb-ac8e-47521b4b611c,8c5cfcc1-f3dc-4abf-b1e7-f872373bdf97,"{""filters"":{""3배수"":{""max"":4,""min"":1},""4배수"":{""max"":2,""min"":1},""5배수"":{""max"":2,""min"":1},""배수외"":{""max"":5,""min"":2},""3·4배수"":{""max"":1,""min"":0},""3·5배수"":{""max"":1,""min"":0},""4·5배수"":{""max"":1,""min"":0}},""recent10FilterActive"":false}",true,,2026-02-24 14:42:55.859125+00,2026-02-24 15:49:55.304694+00
4f9bf04d-baa7-4bd1-9782-cc249affdffb,32e579f2-db27-43bb-ac8e-47521b4b611c,629049f4-90b6-4645-b869-ecee2ff77ca3,"{""selectedCounts"":[0,1],""excludedNumbers"":[36]}",true,,2026-02-23 14:58:11.926714+00,2026-02-24 13:18:32.634066+00
56ce7160-f65b-4edb-a9cd-c7f453088cbc,32e579f2-db27-43bb-ac8e-47521b4b611c,ed999f51-0595-4cf2-b2db-06051a98a18e,"{""max"":10,""min"":7,""excludedAcValues"":[8],""recent10FilterActive"":true,""restoredAutoAcValues"":[]}",true,,2026-02-21 15:30:05.640025+00,2026-02-22 16:07:59.20924+00
5ca1da4d-f331-4051-b4f6-200a50054725,32e579f2-db27-43bb-ac8e-47521b4b611c,eae1ca0e-538b-4ef9-a02d-817764dfcac8,"{""selectedCounts"":[0,1,2],""excludedNumbers"":[]}",true,,2026-02-23 15:11:15.082649+00,2026-02-23 16:09:55.463012+00
739f72b9-ffe0-4c4e-8795-4a50af78c00c,32e579f2-db27-43bb-ac8e-47521b4b611c,793cf56a-4f2f-4feb-903c-c18cb7b8edbf,"{""selectedRatios"":[""2:4"",""4:2"",""3:3""],""excludedHighLows"":[],""recent10FilterActive"":true,""restoredAutoHighLows"":[]}",true,,2026-02-22 16:52:58.123714+00,2026-02-24 13:22:45.870533+00
753ca83c-6ed3-40e6-bcd4-347d4109ec6a,32e579f2-db27-43bb-ac8e-47521b4b611c,eed51d76-4ae4-4440-b917-670af3292e99,"{""max"":191,""min"":99,""excludedSums"":[126],""restoredAutoSums"":[189,179,166],""recent10FilterActive"":true}",true,,2026-02-21 15:30:02.331749+00,2026-02-22 15:42:00.977565+00
808f15ff-c98e-4e70-bc78-c1a57290225d,32e579f2-db27-43bb-ac8e-47521b4b611c,2bb73d13-8c23-41aa-ba56-a23955ccd912,"{""activeCounts"":[0,1],""excludedNumbers"":[44]}",true,,2026-02-23 15:36:29.568938+00,2026-02-23 16:09:35.461943+00
848f6278-ad65-4586-a01d-31b60e4cb949,32e579f2-db27-43bb-ac8e-47521b4b611c,288b0433-aa57-4862-8711-eeb2e77458ff,"{""selectedCounts"":[3,5,6,4],""excludedComposites"":[27,38],""recent10FilterActive"":false}",true,,2026-02-22 08:49:05.602102+00,2026-02-23 16:10:27.992105+00
